Serial,Year,Max_Wl_Battery
1,1970,1.415
2,1971,1.324
3,1972,1.559
4,1973,1.357
5,1974,1.266
6,1975,1.202
7,1976,1.327
8,1977,1.553
9,1978,1.815
10,1979,1.458
11,1980,1.647
12,1981,1.324
13,1982,1.257
14,1983,1.397
15,1984,1.802
16,1985,1.665
17,1986,1.452
18,1987,1.723
19,1988,1.333
20,1989,1.455
21,1990,1.418
22,1991,1.86
23,1992,2.174
24,1993,1.757
25,1994,1.479
26,1995,1.415
26,1996,1.463
26,1997,1.541
110,1998,1.552
27,1999,1.469
31,2000,1.334
41,2001,1.358
51,2002,1.409
61,2003,1.536
71,2004,1.365
81,2005,1.489
91,2006,1.549
101,2007,1.552
111,2008,1.543
121,2009,1.585
131,2010,1.911
141,2011,2.113
151,2012,3.501
161,2013,1.464
171,2014,1.529
181,2015,1.478
191,2016,1.645
201,2017,1.54
211,2018,1.763
221,2019,1.503
231,2020,1.455
241,2021,1.591